journal_id,preferred_title,issns,quantitative_status,quantitative_status_v08,public_primary_status,public_primary_status_v08,production_signal_scimago,production_signal_incites,production_concordance,quantitative_reasons_v08
J2624795X,GeoHazards,2624795X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.35).
J12269328,Geosystem Engineering,12269328;21663394,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,Moderate,SCImago + InCites,Producción SCImago moderada (ratio 3.36). Producción InCites moderada (ratio 3.03).
J00970050,Health Education,00970050;09654283;1758714X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.00).
J26441322,IEEE Open Journal of Signal Processing,26441322,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.19).
J00189251,IEEE Transactions on Aerospace and Electronic Systems,00189251;15579603,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.00).
J00939994,IEEE Transactions on Industry Applications,00939994;19399367,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J22106340,IMA Fungus,22106340;22106359,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,Moderate,SCImago + InCites,Producción SCImago moderada (ratio 3.12). Producción InCites moderada (ratio 3.00).
J2195268X,International Journal of Dynamics and Control,2195268X;21952698,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.02).
J0142727X,International Journal of Heat and Fluid Flow,0142727X;18792278,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.07).
J1935570X,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGIES AND SYSTEMS APPROACH,1935570X;19355718,Moderate alert,High alert,Retirada / desindexada,Retirada / desindexada,,Moderate,InCites only,Producción InCites moderada (ratio 3.19). Autocitación de la fuente moderada (27.2%).
J15480666,International Journal of Knowledge Management,15480658;15480666,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.25).
J27752658,International Journal of Robotics and Control Systems,27752658,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,,SCImago only,Producción SCImago moderada (ratio 3.16).
J12265934,International Journal of Urban Sciences,12265934;21616779,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J19907710,"Journal of Aeronautics, Astronautics and Aviation",19907710,Moderate alert,High alert,Alerta moderada,Alerta alta,,Moderate,InCites only,Producción InCites moderada (ratio 3.12). Autocitación de la fuente extrema (69.2%).
J2624800X,Journal of Cybersecurity and Privacy,2624800X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 2.95).
J15733750,Journal of Experimental Criminology,15728315;15733750,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J2452414X,Journal of Industrial Information Integration,2452414X;2467964X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.21).
J23718366,Journal of Project Management (Canada),23718366;23718374,No quantitative signals,Moderate alert,Antecedente de retiro,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.46).
J18235670,Journal of Quality Measurement and Analysis,18235670;26008602,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.20).
J00160032,Journal of the Franklin Institute,00160032;18792693,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J07181876,Journal of Theoretical and Applied Electronic Commerce Research,07181876,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.19).
J1574020X,Language Resources and Evaluation,1574020X;15740218,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,,SCImago only,Producción SCImago moderada (ratio 3.61).
J26738244,Metrology,26738244,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.04).
J21622531,Molecular Therapy Nucleic Acids,21622531,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J20567189,npj Systems Biology and Applications,20567189,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.14).
J01434004,Placenta,01434004;15323102,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.01).
J17533171,Safundi,15431304;17533171,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.00).
J26660539,Sensors and Actuators Reports,26660539,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.04).
J26667193,"Trees, Forests and People",26667193,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.20).
